date,topic,value
2024-11-23,#武汉大学#,15084
2024-11-23,#因学生一句话武大花近10万买书#,0
2024-11-23,#武汉大学130周年校庆#,0
2024-11-23,#武汉大学人工智能学院揭牌#,0
2024-11-23,#武大新学院于明年九月招生#,0
2024-11-23,#武大成立人工智能学院#,0
2024-11-23,#武大人工智能学院将与小米合作#,0
2024-11-23,#早安珞珈#,37342
2024-11-23,#武大校友献礼母校131周年校庆#,0
2024-11-23,#武汉大学131周年校庆#,0
2024-11-23,#看不见的武大#,23482
2024-11-23,#武大快递#,61622
2024-11-24,#武汉大学#,6328
2024-11-24,#因学生一句话武大花近10万买书#,0
2024-11-24,#武汉大学130周年校庆#,0
2024-11-24,#武汉大学人工智能学院揭牌#,0
2024-11-24,#武大新学院于明年九月招生#,0
2024-11-24,#武大成立人工智能学院#,0
2024-11-24,#武大人工智能学院将与小米合作#,0
2024-11-24,#早安珞珈#,36402
2024-11-24,#武大校友献礼母校131周年校庆#,0
2024-11-24,#武汉大学131周年校庆#,25502
2024-11-24,#看不见的武大#,39472
2024-11-24,#武大快递#,89866
2024-11-25,#武汉大学#,5866
2024-11-25,#因学生一句话武大花近10万买书#,0
2024-11-25,#武汉大学130周年校庆#,0
2024-11-25,#武汉大学人工智能学院揭牌#,0
2024-11-25,#武大新学院于明年九月招生#,0
2024-11-25,#武大成立人工智能学院#,0
2024-11-25,#武大人工智能学院将与小米合作#,0
2024-11-25,#早安珞珈#,38620
2024-11-25,#武大校友献礼母校131周年校庆#,0
2024-11-25,#武汉大学131周年校庆#,38338
2024-11-25,#看不见的武大#,27778
2024-11-25,#武大快递#,106436
2024-11-26,#武汉大学#,9448
2024-11-26,#因学生一句话武大花近10万买书#,0
2024-11-26,#武汉大学130周年校庆#,0
2024-11-26,#武汉大学人工智能学院揭牌#,0
2024-11-26,#武大新学院于明年九月招生#,0
2024-11-26,#武大成立人工智能学院#,0
2024-11-26,#武大人工智能学院将与小米合作#,0
2024-11-26,#早安珞珈#,34368
2024-11-26,#武大校友献礼母校131周年校庆#,0
2024-11-26,#武汉大学131周年校庆#,27786
2024-11-26,#看不见的武大#,3892
2024-11-26,#武大快递#,309380
2024-11-27,#武汉大学#,13136
2024-11-27,#因学生一句话武大花近10万买书#,0
2024-11-27,#武汉大学130周年校庆#,0
2024-11-27,#武汉大学人工智能学院揭牌#,0
2024-11-27,#武大新学院于明年九月招生#,0
