date,#因学生一句话武大花近10万买书#,#早安珞珈#,#武大人工智能学院将与小米合作#,#武大快递#,#武大成立人工智能学院#,#武大新学院于明年九月招生#,#武大校友献礼母校131周年校庆#,#武汉大学#,#武汉大学130周年校庆#,#武汉大学131周年校庆#,#武汉大学人工智能学院揭牌#,#看不见的武大#
2024-11-23,0,37342,0,61622,0,0,0,15084,0,0,0,23482
2024-11-24,0,36402,0,89866,0,0,0,6328,0,25502,0,39472
2024-11-25,0,38620,0,106436,0,0,0,5866,0,38338,0,27778
2024-11-26,0,34368,0,309380,0,0,0,9448,0,27786,0,3892
2024-11-27,0,30414,0,119076,0,0,0,13136,0,66144,0,67064
2024-11-28,0,39396,0,108802,0,0,0,10882,0,35660,0,67762
2024-11-29,0,54760,0,168776,0,0,75849,9786,0,607511,0,42556
2024-11-30,0,34008,0,43530,0,0,143479,17570,0,278481,0,45940
2024-12-01,0,28676,0,165236,0,0,52315,15200,0,146255,0,61346
2024-12-02,0,32382,0,101878,0,0,10668,39740,0,55398,0,30418
2024-12-03,0,36570,0,199776,0,0,5406,25492,60,38254,0,3922
2024-12-04,0,37472,0,155746,0,0,2236,27820,136590,31578,0,10664
2024-12-05,0,33228,0,152650,0,0,2118,19072,44260,23782,0,21102
2024-12-06,0,33970,0,46670,0,0,1156,50892,29404,13386,0,3016
2024-12-07,0,44042,0,60974,0,0,44,22606,18322,2376,0,23006
2024-12-08,0,41100,0,90604,0,0,22,40276,12034,1610,0,23278
2024-12-09,0,42282,0,81932,0,0,0,45636,52022,1030,0,34384
2024-12-10,0,41314,0,138984,0,0,0,40900,57024,1270,0,76864
2024-12-11,308196,33710,0,105338,0,0,0,21274,1166,0,0,33058
2024-12-12,294591,51318,0,161658,0,0,0,38882,18,0,0,14152
2024-12-13,145768,35846,0,113914,0,0,0,25784,4,0,0,1992
2024-12-14,688558,4162,0,108962,0,0,0,18380,2,2,0,70062
2024-12-15,275665,32842,0,71284,0,0,0,17532,0,0,0,64640
2024-12-16,64308,36752,13750,134098,30044,0,0,20482,4,4,0,7032
2024-12-17,36288,31170,11714,83230,14524,164169,0,9036,0,2,333040,20414
2024-12-18,12874,33222,3398,146680,4986,199157,0,14996,0,0,121361,40616
2024-12-19,4592,30312,746,203212,1786,26669,0,15320,0,0,16131,38388
2024-12-20,2712,35764,776,154676,1144,8188,0,10380,0,0,8246,53108
2024-12-21,726,35508,632,63668,906,5696,0,8392,0,0,5710,12928
